,stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation,spray_angle,team_abv
17,Angel Stadium,Los Angeles Angels,angels,LAA,-40.64239903494937,395.9231302737327,398.00368049186073,outfield_outer,-4.4,8.0,NE,-5.861011282227025,LAA
18,Angel Stadium,Los Angeles Angels,angels,LAA,-26.164748713136344,399.85946452883286,400.714593505785,outfield_outer,-2.8,8.0,NE,-3.743804180430304,LAA
19,Angel Stadium,Los Angeles Angels,angels,LAA,-11.684759873544767,403.78724589527155,403.9562767936536,outfield_outer,-1.2,8.0,NE,-1.6575576597504393,LAA
20,Angel Stadium,Los Angeles Angels,angels,LAA,2.7914173560069364,407.72897886564857,407.73853413392254,outfield_outer,0.3,8.0,NE,0.3922555003763147,LAA
21,Angel Stadium,Los Angeles Angels,angels,LAA,17.103339556345166,410.19873858846125,410.55514777377283,outfield_outer,1.8,8.0,NE,2.387578978330942,LAA
22,Angel Stadium,Los Angeles Angels,angels,LAA,30.314625330359448,403.0883234679791,404.22663571955053,outfield_outer,3.2,8.0,NE,4.300885094225761,LAA
23,Angel Stadium,Los Angeles Angels,angels,LAA,43.52783837583165,395.98138447428164,398.3665768658829,outfield_outer,4.7,8.0,NE,6.272993270420199,LAA
24,Angel Stadium,Los Angeles Angels,angels,LAA,56.7557516700314,388.9018837869976,393.0214886754993,outfield_outer,6.2,8.0,NE,8.30304415657446,LAA
25,Angel Stadium,Los Angeles Angels,angels,LAA,69.96650016268336,381.7904072224308,388.1484589587911,outfield_outer,7.8,8.0,NE,10.384733192906758,LAA
26,Angel Stadium,Los Angeles Angels,angels,LAA,83.1790329431707,374.6822056289683,383.8039952063417,outfield_outer,9.4,8.0,NE,12.51661318533329,LAA
27,Angel Stadium,Los Angeles Angels,angels,LAA,96.388210107774,367.56778282575084,379.99573947508765,outfield_outer,11.0,8.0,NE,14.693963116225843,LAA
28,Angel Stadium,Los Angeles Angels,angels,LAA,109.59279428137873,360.4449178242188,376.7374674009853,outfield_outer,12.7,8.0,NE,16.911823930759986,LAA
29,Angel Stadium,Los Angeles Angels,angels,LAA,122.84003464449438,353.40252835997387,374.14304906370063,outfield_outer,14.4,8.0,NE,19.167063169944864,LAA
30,Angel Stadium,Los Angeles Angels,angels,LAA,136.0770915230295,346.3411227737487,372.1144288542811,outfield_outer,16.1,8.0,NE,21.449815423974027,LAA
31,Angel Stadium,Los Angeles Angels,angels,LAA,149.2789206234043,339.2130991771372,370.60723521788805,outfield_outer,17.8,8.0,NE,23.75305439396768,LAA
32,Angel Stadium,Los Angeles Angels,angels,LAA,162.50315105433458,332.1267117072233,369.7504925379288,outfield_outer,19.6,8.0,NE,26.071605652152535,LAA
33,Angel Stadium,Los Angeles Angels,angels,LAA,175.70637191248122,325.001251386141,369.4570915995588,outfield_outer,21.3,8.0,NE,28.397114897516925,LAA
34,Angel Stadium,Los Angeles Angels,angels,LAA,188.87389910479058,317.8104872999429,369.6983305356866,outfield_outer,23.0,8.0,NE,30.722899455923923,LAA
35,Angel Stadium,Los Angeles Angels,angels,LAA,202.1037449225629,310.7351952613547,370.6781424441379,outfield_outer,24.8,8.0,NE,33.04017984315711,LAA
36,Angel Stadium,Los Angeles Angels,angels,LAA,214.8694348091004,302.9223736682968,371.3904124826292,outfield_outer,26.5,8.0,NE,35.348907780572816,LAA
37,Angel Stadium,Los Angeles Angels,angels,LAA,226.10142113622678,292.9755916299849,370.07641093531083,outfield_outer,28.2,8.0,NE,37.65885910430655,LAA
38,Angel Stadium,Los Angeles Angels,angels,LAA,236.07982649009193,282.0244646003419,367.79271758519286,outfield_outer,29.9,5.0,NE,39.9323602983696,LAA
39,Angel Stadium,Los Angeles Angels,angels,LAA,242.40953082417602,268.4704672174625,361.71642539752014,outfield_outer,31.6,5.0,NE,42.07976726580765,LAA
40,Angel Stadium,Los Angeles Angels,angels,LAA,246.2105606491796,253.9780078562958,353.72937204851394,outfield_outer,33.1,5.0,NE,44.11032318279925,LAA
41,Minute Maid Park,Houston Astros,astros,HOU,232.2561599906836,240.39807524691886,334.2665978467506,outfield_outer,33.0,7.0,ENE,44.01312373183223,HOU
42,Minute Maid Park,Houston Astros,astros,HOU,222.9193137078114,251.70421232784278,336.22616038544857,outfield_outer,31.1,7.0,ENE,41.52938488831815,HOU
43,Minute Maid Park,Houston Astros,astros,HOU,213.6256915038171,263.04340676595933,338.86246459814043,outfield_outer,29.3,7.0,ENE,39.08111978556822,HOU
44,Minute Maid Park,Houston Astros,astros,HOU,204.30700318779697,274.3643398777807,342.07768496081246,outfield_outer,27.5,7.0,ENE,36.673427186361906,HOU
45,Minute Maid Park,Houston Astros,astros,HOU,194.99980888746538,285.6947265432954,345.89941058174173,outfield_outer,25.7,7.0,ENE,34.315336726307486,HOU
46,Minute Maid Park,Houston Astros,astros,HOU,185.5619106830714,296.9164359789136,350.132250229499,outfield_outer,24.0,7.0,ENE,32.003875950585645,HOU
47,Minute Maid Park,Houston Astros,astros,HOU,176.1810872623351,308.1859954567338,354.99068058837327,outfield_outer,22.3,7.0,ENE,29.755363985991682,HOU
48,Minute Maid Park,Houston Astros,astros,HOU,166.82372086592392,319.47516007564906,360.4088397208277,outfield_outer,20.7,7.0,ENE,27.5726887611392,HOU
49,Minute Maid Park,Houston Astros,astros,HOU,157.49838307974147,330.7907650918046,366.3717660283806,outfield_outer,19.1,7.0,ENE,25.460375877219597,HOU
50,Minute Maid Park,Houston Astros,astros,HOU,148.1009622519802,342.04587773208516,372.73217931039306,outfield_outer,17.6,9.0,ENE,23.411919987880616,HOU
51,Minute Maid Park,Houston Astros,astros,HOU,135.76468008166526,348.232407931158,373.76176675953536,outfield_outer,16.0,9.0,ENE,21.299219847896783,HOU
52,Minute Maid Park,Houston Astros,astros,HOU,125.65876315837252,358.67327676434246,380.04821302482475,outfield_outer,14.5,9.0,ENE,19.307565097358477,HOU
53,Minute Maid Park,Houston Astros,astros,HOU,116.3479427630984,370.0006979250946,387.86255329725026,outfield_outer,13.1,9.0,ENE,17.455927105188696,HOU
54,Minute Maid Park,Houston Astros,astros,HOU,107.05637829600369,381.3440778741421,396.08632122750316,outfield_outer,11.8,9.0,ENE,15.68125480081449,HOU
55,Minute Maid Park,Houston Astros,astros,HOU,97.76063021671293,392.68398507776425,404.67005443561385,outfield_outer,10.5,9.0,ENE,13.979875991465178,HOU
56,Minute Maid Park,Houston Astros,astros,HOU,87.79525558074455,403.4178032870617,412.86066767306215,outfield_outer,9.2,9.0,ENE,12.277756108108186,HOU
57,Minute Maid Park,Houston Astros,astros,HOU,79.05113205405209,414.95655091420576,422.41924746114614,outfield_outer,8.1,9.0,ENE,10.785868656866493,HOU
58,Minute Maid Park,Houston Astros,astros,HOU,69.64667212815363,425.85392832343086,431.51156091931574,outfield_outer,7.0,9.0,ENE,9.288261580265479,HOU
59,Minute Maid Park,Houston Astros,astros,HOU,57.464410782106306,434.00483064800295,437.7925896270246,outfield_outer,5.7,9.0,ENE,7.542376673419833,HOU
60,Minute Maid Park,Houston Astros,astros,HOU,44.09788786004155,439.92493311843776,442.12958563409745,outfield_outer,4.3,9.0,ENE,5.724183483660874,HOU
61,Minute Maid Park,Houston Astros,astros,HOU,29.832128719811205,443.1631899531055,444.1661500310077,outfield_outer,2.9,9.0,ENE,3.8511326766284255,HOU
62,Minute Maid Park,Houston Astros,astros,HOU,15.64097809470906,443.4682539835776,443.74399431091126,outfield_outer,1.5,9.0,ENE,2.019965821464219,HOU
